Sunday Cup|am_sunday_0000|a112_abarth_79
FF Challenge|am_ff_0000|mazda6_tmv_01
FR Challenge|am_fr_0000|skyline_2000gtb_67
4WD Challenge|am_4wd_0000|mtr_gmv_04
MR Challenge|am_mr_0000|esprit_turbo_hc_87
Lightweight K-Car Cup|am_kcar_0000|ginetta_g4_64
Spider & Roadster|am_spider_0000|prowler_02
Pickup Truck Race|am_pickup_0000|silverado_sst_02

Clubman Cup|pr_clubman_0000|mazdaspeed_6_05
Tuning Car Grand Prix Championship|pr_tuning_0500|stream_z_04
Race of NA Sports|pr_na_0000|nsx_r_01
Turbo Sports Cars|pr_turbo_0000|murao_rx7_03
Boxer Spirit|pr_boxer_0000|ctr_87
World Classics Championship|pr_classic_0500|motor_carriage_886
World Compact Championship|pr_compact_0500|s800_rsc_68
Supercar Festival|pr_supercar_0000|cizeta_v16t_94
Gran Turismo World Championship|pr_gtworld_1000|ford_gt_lm_sp2_04

Gran Turismo All Stars Championship|ex_gtallstar_1000|mclaren_f1_gtr_long_97
Dream Car Championship|ex_dream_1000|gtr_concept_lm_01
Polyphony Digital Cup Championship|ex_polyphony_1000|opera_s2000_04
Like The Wind|ex_wind_0000|w12_tmv_01
Formula GT World Championship|ex_formula_1500|sauber_mercedes_c9_89
Real Circuit Tours|ex_real_circuit_0000|r34_gtr_v_gtcolor_pc_01
Premium Sports Lounge|ex_premium_0000|ford_gt_no_stripe_05

//ex_roadgoing_0000|caterham_7_fb_02
Grand Valley 300 km|en_grandvalley300_0000|autounion_v16_typec_sl_37
Laguna Seca 200 miles|en_laguna200_0000|gt40_race_69
Roadster 4h Endurance|en_roadster4h_0000|rx7_lm_race_00
Tokyo R246 300 km|en_r246_300_0000|fto_lm_race_00
Super Speedway 150 miles|en_ssw150_0000|nsx_r_proto_lm_01
Nurburgring 24h Endurance|en_nur24h_0000|formula_gran_turismo_04
Nurburgring 4h Endurance|en_nur4h_0000|chaparral_2d_race_67
Suzuka 1000km|en_suzuka1000_0000|storm_v12_race_99
Motegi 8h Endurance|en_motegi8h_0000|nsx_r_proto_lm_road_01
Tsukuba 9h Endurance|en_tsukuba9h_0000|calsonic_skyline_gtr_gpa_93
Circuit de la Sarthe 24h I|en_sarthe24h_0000|r8_race_01
Circuit de la Sarthe 24h II|en_sarthe_old24h_0000|exp_speed8_03
Fuji 1000 km|en_fuji1000_0000|r92cp_92
Infineon World Sports Car Race|en_infinion_alms_0000|ford_gt_concept_gulf_02
El Capitan 200 miles|en_capitan200_0000|minolta_toyota_88cv_89
New York 200 mile race|en_newyork200_0000|charger_superbee_426_hemi_71

Pan Euro Championship|eureurope_0500|xj220_gt_race_92
British GT Series|eurbritish_gt_0500|e_type_coupe_61
British Lightweight Series|eurbritish_light_0000|europa_special_71
Deutsche Touring Car Meistershaft|eurdeu_touring_0500|clk_gtr_race_98
La Festa Italiano|euritaly_0000|_155_v6ti_dtm_93
Tous France Championnat|eurfrench_0500|_2cv_typea_54
Europe Classic Car League|eureuro_classic_0500|patent_motor_wagen_886
Europe Hot Hatch League|eureuro_hatch_0500|_240_glt_estate_88
1000 miles !|eur1000mile_0400|giulia_sprint_s_63
Schwarzwald Liga A|eurschvartz_a_0000|_190e_evo2_dtm_92
Schwarzwald Liga B|eurschvartz_b_0000|corvette_convertible_54

All American Championship|usrusa_0500|camaro_race_00
Stars and Stripes|usrstar_0000|chevelle_ss_454_ls6_70
Muscle Car Competition|usrmuscle_0000|roadrunner_superbird_70
Old Muscle Car Competition|usrmuscle_old_0000|_350z_lm_us_02

Japan Championship|jprjapan_0500|motul_pitwork_z_04
All Japan GT Championship|jprjgtc_1000|kpgc10_skyline_gtr_70
Japanese 70's Classics|jprjp_70_0000|hsr2_concept_89
Japanese 80's Festival|jprjp_80_0000|nismo400r_96
Japanese 90's Challenge|jprjp_90_0000|life_step_van_72
Japanese Compact Club|jprjp_compact_0500|giulia_sprint_gta_65

Alfa - GTA Cup|it_alfa_gta_0000|giulia_sprint_gta_65
Aston Martin Festival|uk_aston_0000|db9_03
Lotus - Elise Trophy|uk_lotus_elise_0500|elise_type72_01
Lotus Classics|uk_lotus_classic_0500|elan_s1_62
MG Festival|uk_mg_0000|mgf_vvc_97
Triumph - Spitfire Cup|uk_triumph_spitfire_0000|spitfire_1500_74
TVR - Blackpool Racers|uk_tvr_0000|cerbera_speed12_00
Audi - Tourist Trophy|de_audi_tt_0300|lemans_quattro_03
Audi - A3 Cup|de_audi_a3_0000|pikespeak_quattro_03
BMW - 1 Series Trophy|de_bmw1_0000|_2002_turbo_73
BMW - Club "M"|de_bmw_m_0500|m3_gtr_str_03
Mercedes - Legends of the Silver Arrow|de_mercedes_arrow_0000|clk_race_00
Mercedes - SL Challenge|de_mercedes_sl_0000|_300sl_coupe_54
